1,8,75
2,8,76
3,8,77
4,8,79
5,8,80
6,8,81
7,8,82
8,8,83
9,8,84
10,8,85
11,8,86
12,8,87
13,8,88
14,8,89
15,8,90
16,8,91
17,8,92
18,8,93
19,8,94
20,8,95
21,8,96
22,8,97
23,8,98
24,8,99
25,9,00
26,9,01
27,9,02
28,9,03
29,9,04
30,9,05
31,9,06
32,9,08
33,9,09
34,9,10
35,9,11
36,9,12
37,9,13
38,9,14
39,9,15
40,9,16
41,9,17
42,9,18
43,9,19
44,9,20
45,9,21
46,9,22
47,9,23
48,9,24
49,9,25
50,9,26
51,9,27
52,9,28
53,9,29
54,9,30
55,9,31
56,9,32
57,9,33
58,9,34
59,9,35
60,9,36
61,9,37
62,9,38
63,9,39
64,9,41
65,9,42
66,9,43
67,9,44
68,9,45
69,9,46
70,9,47
71,9,48
72,9,49
73,9,50
74,9,51
75,9,52
76,9,53
77,9,54
78,9,55
79,9,56
80,9,57
81,9,58
82,9,59
83,9,60
84,9,61
85,9,62
86,9,63
87,9,64
88,9,65
89,9,66
90,9,67
91,9,68
92,9,69
93,9,70
94,9,71
95,9,73
96,9,74
97,9,75
98,9,76
99,9,77
100,9,78
101,9,79
102,9,80
103,9,81
104,9,82
105,9,83
106,9,84
107,9,85
108,9,86
109,9,87
110,9,88
111,9,89
112,9,90
113,9,91
114,9,92
115,9,93
116,9,94
117,9,95
118,9,97
119,9,98
120,9,99
121,0,00
122,0,01
123,0,02
124,0,03
125,0,04
126,0,05
127,0,06
128,0,07
129,0,08
130,0,09
131,0,10
132,0,11
133,0,12
134,0,13
135,0,14
136,0,15
137,0,17
138,0,18
139,0,19
140,0,20
141,0,21
142,0,22
143,0,23
144,0,24
145,0,25
146,0,26
147,0,27
148,0,28
149,0,29
150,0,30
151,0,31
152,0,32
153,0,33
154,0,34
155,0,35
156,0,36
157,0,37
158,0,38
159,0,39
160,0,40
161,0,41
162,0,42
163,0,44
164,0,45
165,0,46
166,0,47
167,0,48
168,0,49
169,0,50
170,0,51
171,0,52
172,0,53
173,0,54
174,0,55
175,0,56
176,0,57
177,0,58
178,0,59
179,0,60
180,0,61
181,0,62
182,0,63
183,0,64
184,0,66
185,0,67
186,0,68
187,0,69
188,0,70
189,0,71
190,0,72
191,0,73
192,0,74
193,0,75
194,0,76
195,0,77
196,0,78
197,0,79
198,0,80
199,0,81
200,0,82
201,0,83
202,0,84
203,0,85
204,0,86
205,0,87
206,0,88
207,0,90
208,0,91
209,0,92
210,0,93
211,0,94
212,0,95
213,0,96
214,0,97
215,0,98
216,0,99
217,1,00
218,1,01
219,1,02
220,1,03
221,1,04
222,1,05
223,1,06
224,1,07
225,1,08
226,1,09
227,1,11
228,1,12
229,1,13
230,1,14
231,1,15
232,1,16
233,1,17
234,1,18
235,1,19
